year,nationality_of_ownership,Actual_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Actual_Capital_Expenditure_-_Land_and_Buildings,Actual_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Actual_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Actual_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Actual_Current_Expenditure_-_Labour_Costs,Actual_Current_Expenditure_-_Other_Current_Costs,Actual_Total_Capital_Expenditure,Actual_Total_Current_Expenditure,Actual_Total_Research_and_Development_Expenditure,Estimated_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Estimated_Capital_Expenditure_-_Land_and_Buildings,Estimated_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Estimated_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Estimated_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Estimated_Current_Expenditure_-_Labour_Costs,Estimated_Current_Expenditure_-_Other_Current_Costs,Estimated_Total_Capital_Expenditure,Estimated_Total_Current_Expenditure,Estimated_Total_Research_and_Development_Expenditure,expenditure,Enterprises_Engaged_in_Research_and_Development_Activities_%,Enterprises_Engaged_in_Research_and_Development_Activities_Number,type_of_innovation,Enterprises_Engaged_in_Intellectual_Property_Rights_Activities
2,1,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,1.3,12.0,0,5.658666666666666
2,1,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,952.0,0,5.658666666666666
2,2,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,15.4,51.0,0,5.658666666666666
2,2,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,26.3,87.0,0,5.658666666666666
2,2,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,9.4,31.0,0,5.658666666666666
2,2,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,32.3,107.0,0,5.658666666666666
2,2,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,16.6,55.0,0,5.658666666666666
2,2,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,331.0,0,5.658666666666666
3,0,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,228053.0,38081.0,1947.0,30143.0,3203.0,966140.0,566040.0,301427.0,1532181.0,1833608.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
3,1,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,40882.0,22334.0,1701.0,26188.0,2206.0,327009.0,163132.0,93311.0,490141.0,583452.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
3,2,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,187171.0,15747.0,246.0,3955.0,997.0,639132.0,402908.0,208115.0,1042040.0,1250155.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
4,0,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,33.5,539.0,0,5.658666666666666
4,0,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,39.1,629.0,0,5.658666666666666
4,0,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,5.2,84.0,0,5.658666666666666
4,0,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,17.9,288.0,0,5.658666666666666
4,0,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,4.3,69.0,0,5.658666666666666
4,0,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,1609.0,0,5.658666666666666
4,1,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,38.6,460.0,0,5.658666666666666
4,1,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,41.9,500.0,0,5.658666666666666
4,1,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,2.1,25.0,0,5.658666666666666
4,1,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,16.1,192.0,0,5.658666666666666
4,1,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,1.3,15.0,0,5.658666666666666
4,1,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,1192.0,0,5.658666666666666
4,2,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,18.9,79.0,0,5.658666666666666
4,2,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,30.9,129.0,0,5.658666666666666
4,2,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,14.1,59.0,0,5.658666666666666
4,2,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,23.0,96.0,0,5.658666666666666
4,2,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,12.9,54.0,0,5.658666666666666
4,2,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,417.0,0,5.658666666666666
5,0,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,85823.0,12902.0,6612.0,14566.0,7061.0,1091366.0,641039.0,126964.0,1732405.0,1859369.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
5,1,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,17590.0,6641.0,1821.0,3970.0,3787.0,364806.0,179132.0,33809.0,543938.0,577747.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
5,2,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,68233.0,6262.0,4791.0,10596.0,3274.0,726561.0,461906.0,93155.0,1188467.0,1281622.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
6,0,74941.0,29664.0,16899.0,15794.0,9901.0,1238903.0,635761.0,147200.0,1874663.0,2021863.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,38.81,768.0,0,5.658666666666666
6,0,74941.0,29664.0,16899.0,15794.0,9901.0,1238903.0,635761.0,147200.0,1874663.0,2021863.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,34.87,690.0,0,5.658666666666666
6,0,74941.0,29664.0,16899.0,15794.0,9901.0,1238903.0,635761.0,147200.0,1874663.0,2021863.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,4.85,96.0,0,5.658666666666666
6,0,74941.0,29664.0,16899.0,15794.0,9901.0,1238903.0,635761.0,147200.0,1874663.0,2021863.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,17.64,349.0,0,5.658666666666666
